AvisID,ClientID,ProduitID,Note,Commentaire,DateAvis
1,1,1,5,"Excellent produit, très satisfait",2023-05-20 10:30:00
2,2,2,4,"Bon produit, mais batterie moyenne",2023-05-22 14:15:00
3,3,3,3,Correct pour le prix,2023-05-25 09:45:00
4,1,8,5,Super qualité audio,2023-05-28 16:20:00
5,5,5,4,Souris confortable,2023-06-01 11:10:00
6,4,10,2,Déçue de la qualité,2023-06-03 13:40:00
7,8,2,4,Très bon smartphone,2023-06-05 08:30:00
8,2,8,5,Excellent casque,2023-06-07 17:15:00
9,7,1,3,Un peu cher,2023-06-10 12:00:00
10,10,7,4,Bon rapport qualité/prix,2023-06-12 15:45:00
